Liquidity_Locked_Pct,Owner_Can_Mint,Owner_Can_Pause,Ownership_Renounced,Contract_Verified,TopHolder_Pct,Number_of_Holders,Buy_Tax,Sell_Tax,LP_Burned,Token_Age_Days,Liquidity_USD,Daily_Volume_USD,Market_Cap_USD,RugPull
58,1,0,0,1,24,8694,11,12,0,276,4948939,2404821,29742705,0
41,1,1,1,1,23,877,4,22,1,416,568027,2267536,34181686,0
91,0,0,1,1,75,7010,29,0,1,471,979785,1986888,32316866,0
59,0,0,1,1,60,5878,14,15,1,568,4730430,383017,16217753,0
79,1,0,1,1,60,5971,22,18,1,456,927628,353587,45849868,0
14,0,1,1,1,5,20951,19,11,0,309,4679287,2279094,48552808,0
61,0,0,1,1,43,8697,17,4,1,427,4792392,2583670,28953987,0
61,0,0,1,1,41,8227,28,22,0,850,1092327,126542,15458331,0
46,0,1,0,1,22,19420,30,29,1,100,2141161,272203,27822544,0
61,0,0,1,1,76,6183,20,4,0,883,4000748,2343142,32291100,0
50,0,0,1,1,83,3440,26,24,1,765,583188,29711,34740770,0
54,0,0,0,0,10,10645,5,6,0,87,1826324,2010749,15505991,0
63,0,0,0,1,26,13430,28,30,0,278,2698958,2610167,47979950,0
2,0,0,1,1,15,12152,23,11,0,98,3680228,1378784,38776746,0
100,0,0,1,1,94,18296,13,13,1,916,3597841,676044,8348996,0
50,1,0,0,1,76,4955,24,0,1,995,3548740,953187,13733531,1
6,0,0,1,1,13,3339,10,5,0,464,3753660,1801014,34437223,0
20,0,0,1,1,17,343,25,17,0,641,1262720,778242,45240438,0
72,1,0,1,0,7,1437,7,5,0,108,3238269,163113,27263908,0
38,1,0,1,0,71,9667,22,18,1,947,881978,2557254,1462861,1
17,0,0,1,1,11,21744,24,29,1,569,4427941,2523030,9236342,0
3,0,0,1,0,71,3627,8,11,0,42,3452532,1972841,20871854,1
88,0,0,0,1,79,16965,5,17,1,820,179365,2235508,42238562,0
59,1,0,0,1,50,811,27,2,0,589,4467047,1365055,26465436,0
13,1,0,0,1,62,1198,2,10,1,479,1773728,2235430,27008881,1
8,1,1,1,1,32,24780,29,25,1,496,3763464,2570783,3032577,1
89,0,0,1,1,35,24712,27,3,1,794,919782,1032826,49216953,0
52,0,0,0,1,56,4330,26,12,1,216,215411,63578,48419633,0
1,0,0,1,1,13,19688,7,0,0,988,4190037,1791223,2554090,0
83,0,0,1,1,95,2621,15,19,1,959,4642494,1356336,42747313,0
91,0,1,1,1,80,4661,18,30,0,481,4148450,1894315,9964297,1
59,0,0,1,1,12,9823,0,5,1,189,1551300,1946887,22642678,0
70,0,0,1,1,90,4260,12,20,0,600,498564,1349061,19559850,0
43,0,0,1,1,22,14383,11,28,0,114,3603346,1454813,36546160,0
7,0,0,0,1,98,12901,19,13,1,958,1445923,324775,1454803,0
46,0,0,1,1,53,3742,29,20,1,323,224552,2838662,10039531,0
34,0,0,0,1,15,15791,24,8,1,957,3498028,558744,43703126,0
77,0,0,0,1,6,22550,28,30,0,558,326804,1399149,48664937,0
80,1,0,1,0,33,2462,7,8,1,433,941191,2197334,35151401,0
35,0,0,0,1,59,819,29,24,1,895,2214558,314214,28735169,0
49,1,0,1,1,57,8426,13,6,1,152,4353873,1871249,3890312,0
3,0,0,1,1,30,23401,5,28,1,46,4419074,2761766,45202848,0
1,0,0,1,1,55,20793,2,14,1,639,1037887,804787,46468783,0
5,0,1,1,1,82,11319,2,9,1,501,994794,2091606,31185066,0
53,0,0,1,1,96,16613,22,8,1,313,1430120,329319,37502011,0
3,1,1,1,1,10,7803,13,28,1,72,3919203,163917,20798075,0
53,0,0,1,1,16,10327,20,27,0,492,2455613,2937739,45700096,0
92,1,0,1,1,38,12093,2,23,0,910,4755116,1183476,3289065,0
62,0,0,1,1,74,8479,27,23,1,898,2033170,1589459,16810219,0
17,1,0,1,1,68,14318,11,14,0,511,3827651,2442713,16608484,1
89,0,1,1,1,41,22507,11,20,1,134,3329714,1282522,25804799,0
43,1,1,0,0,41,19567,16,8,1,588,3848310,1639724,19799986,1
33,0,0,1,1,12,19235,10,23,1,61,169229,1627438,2575849,0
73,0,0,0,1,41,21168,8,6,1,676,1637669,2717092,22413615,0
61,0,0,1,1,50,21584,26,23,1,346,2742487,1926722,34949329,0
99,1,1,1,1,35,18376,27,24,0,989,2372692,2951924,40082843,0
13,0,0,1,1,15,2786,27,22,0,452,824567,891477,7342945,0
94,0,0,1,1,40,23289,4,24,1,30,4201127,370887,1334685,0
47,1,0,0,1,72,9916,10,7,0,892,2803751,2307474,5315029,1
14,0,0,1,1,21,17575,30,1,0,48,4340962,2322346,47027729,0
71,0,0,1,1,20,21042,6,2,1,244,396855,654431,36538790,0
77,0,0,1,1,34,24490,9,21,1,784,500000,1143675,21269700,0
86,0,1,1,1,43,18491,30,21,0,320,4485499,1192324,11737742,0
61,1,0,0,0,48,24520,8,22,1,632,3100878,1609147,4316293,0
39,1,0,1,1,73,7088,19,1,0,776,3401572,773393,34079391,0
84,0,0,0,1,41,6555,28,27,1,864,1655303,470063,38050721,0
79,1,0,1,0,30,15955,14,0,0,419,36401,1004479,30329297,0
81,0,0,1,1,96,14020,28,26,0,24,3802487,34828,11911612,1
52,0,0,1,1,87,19197,27,11,1,31,3060588,1737340,16778116,0
23,0,0,1,1,25,15241,10,4,1,621,1246055,324082,4524037,0
25,0,0,0,0,96,10315,20,29,1,615,3855391,2917186,6105027,1
88,0,0,1,1,23,19067,2,26,0,162,3403842,2731269,38051302,0
59,1,0,1,1,15,16087,22,17,1,389,3358115,2577942,47195004,0
40,1,0,0,0,23,14614,28,24,1,398,4064221,1809612,30839797,1
28,0,0,1,1,73,21770,14,18,1,805,2297716,676734,33750983,0
14,0,0,1,1,6,8617,16,27,1,356,1629562,606383,41395647,0
44,0,0,1,0,29,3170,23,1,1,81,3711059,1394754,15901123,0
64,1,0,1,1,94,2579,2,27,0,404,346073,1425208,2047641,1
88,1,0,1,1,34,12184,28,15,1,833,4800269,1439123,16340767,0
70,0,0,1,0,21,7560,19,27,1,656,49794,2171298,48270531,0
8,1,0,0,1,89,24038,25,22,1,875,3219793,1327184,31179642,1
87,0,0,1,1,88,20168,30,5,1,599,3438520,1579523,9744385,0
0,0,0,0,1,22,7411,3,23,1,139,2250673,697555,41220517,0
7,0,0,1,1,84,2623,10,24,1,625,2720335,2956245,20833658,0
87,0,0,1,1,96,22513,22,2,1,68,1538412,2070565,22502175,0
62,0,0,0,1,80,18080,29,7,1,368,4152215,2824632,18315210,1
10,0,0,0,1,44,17232,27,3,1,940,4525058,283669,4437118,0
80,0,0,1,1,10,6459,6,17,0,727,2060834,860868,37430960,0
7,0,0,1,1,92,18703,19,19,0,351,272669,2342398,47843639,1
34,0,0,0,1,47,12747,21,3,1,445,38787,2519448,33699047,0
34,0,0,0,0,74,21366,23,7,1,799,2930478,2596613,21772712,1
32,0,1,0,1,21,15166,25,25,1,837,831478,1754933,7376312,1
4,1,1,1,1,46,3957,13,23,0,731,3279108,2965588,21458202,1
40,0,1,1,1,23,20558,3,28,1,221,556208,374957,25852086,0
27,0,1,1,1,59,16476,12,6,1,205,1470632,2546614,11399451,0
6,0,0,0,1,96,8672,0,19,1,493,2162825,2331989,28122870,1
72,1,1,1,1,33,20017,22,17,0,483,1059813,2412634,18622357,1
71,1,0,1,1,58,14285,17,0,1,573,256241,1692828,10501267,0
11,0,0,0,1,75,5133,26,26,0,393,782178,771183,25654364,1
33,0,0,1,1,87,23124,12,17,1,818,4398672,828123,7851199,0
32,1,0,0,1,12,5234,2,1,1,658,4208407,408025,37763665,0
47,0,1,1,1,12,24707,7,30,1,509,4436013,991163,39057114,0
22,0,0,1,1,73,1900,17,18,1,509,2997071,2982508,7672588,0
61,0,0,1,1,47,10756,1,9,0,15,3490576,2445888,4968938,0
87,0,0,1,1,54,24438,19,20,1,280,1232242,1064720,47692720,0
36,0,0,1,1,89,10135,5,0,1,863,555763,2833222,17350791,0
98,0,0,1,1,8,4794,25,20,1,757,2730682,2377269,41376253,0
43,0,1,1,1,40,9612,26,6,1,175,3309201,847948,29535815,0
85,1,0,0,1,9,6104,17,27,0,711,1843228,461711,37583114,1
90,0,0,1,1,91,16710,24,13,1,713,3306372,367763,25863614,0
34,1,0,1,1,23,14091,27,0,1,635,3418167,1107795,21956360,0
64,0,0,1,1,46,12446,17,3,1,464,3084765,2474614,36676664,0
98,0,0,1,1,19,16898,8,10,1,802,4525603,2854329,17239399,0
100,0,0,0,1,62,11027,14,1,0,480,2273826,1092917,11299429,0
46,1,0,1,1,18,10084,22,7,1,279,1163407,1938376,27182899,0
77,1,0,1,1,52,13212,26,17,0,503,3380456,1478937,17276935,0
2,0,0,0,1,76,8793,2,30,0,660,2853595,2030255,20422864,1
0,1,0,1,1,77,22801,24,30,1,557,3439488,2638764,32149991,1
4,0,0,1,1,79,7278,8,16,0,119,913399,1637895,20836956,0
89,1,0,0,1,86,16994,21,13,1,292,2224064,2971101,7633953,1
13,0,0,0,1,67,19873,17,29,1,558,2777258,1249900,23156663,1
26,1,0,1,1,59,10225,22,17,1,905,510386,2025814,5339619,0
8,0,0,1,1,36,18846,19,9,1,270,3221010,2923852,34941053,0
78,0,0,0,1,40,17541,19,19,0,427,3572635,1556098,29376011,1
14,0,0,1,0,89,4369,6,20,1,724,3651436,1935834,4332121,1
89,0,0,0,1,95,23335,20,17,0,333,4509340,2397466,16118486,1
41,0,0,0,0,89,1124,16,19,0,445,4173431,114729,48413437,1
76,0,0,1,1,79,14573,2,22,1,337,2755271,708305,17339066,0
50,0,0,1,1,61,6525,6,4,0,918,2936752,617757,7702824,0
62,0,0,1,1,48,24946,12,7,0,645,2121073,1366869,24266338,0
95,0,0,1,1,38,23300,8,9,1,612,839070,1797066,33900731,0
51,0,0,1,1,55,14679,8,24,1,827,4744053,2808557,35681399,0
95,1,1,0,1,73,3794,22,0,0,800,2284004,1794603,28931470,1
3,0,0,1,1,96,9910,4,16,0,989,3520982,1327672,45794132,0
93,0,1,1,1,14,22089,3,18,0,365,1676622,1426595,35011340,0
100,0,0,0,1,16,22055,8,23,1,204,521531,605075,32115371,0
22,0,0,1,1,45,12475,5,16,0,547,4888351,1028289,14256140,0
14,0,0,1,1,7,5575,28,9,0,260,1374838,84373,27099520,0
42,0,0,1,0,69,23731,9,17,1,209,2276539,1154902,22929916,0
28,0,0,1,1,44,3651,17,29,0,469,3657719,1577513,18611563,0
35,1,0,0,1,69,17448,2,0,1,338,2642640,2652617,16699467,0
12,0,0,1,1,81,23395,22,29,1,303,4872828,1896995,24933161,0
31,0,0,1,1,83,22125,30,16,1,103,4901682,2318460,26446224,0
70,0,0,1,1,75,12937,19,27,1,73,4157483,338075,41846810,0
58,0,0,0,1,34,6520,6,12,0,78,4831872,2749580,22839568,0
85,1,1,0,0,92,4221,28,24,0,182,3241542,2238238,26284604,1
27,0,0,1,1,76,12756,11,27,1,502,1291542,536068,38629988,0
65,0,0,0,1,71,19989,27,9,0,746,1432663,628526,49049040,1
41,0,0,1,1,83,5430,4,0,1,444,242991,1103855,5034141,0
44,0,0,1,1,47,24907,16,19,1,874,4455020,1895629,25272729,0
61,0,0,0,1,57,19313,25,6,0,563,3160402,2977615,38374121,0
56,1,0,1,1,82,13517,18,27,0,88,2703020,2282722,34776946,1
5,1,0,1,1,95,5545,24,30,1,909,3449367,703015,39211908,1
27,1,0,1,1,34,2482,3,20,0,163,3755661,858536,32376466,0
27,1,0,1,1,45,12139,11,25,1,272,2213166,1865646,28385089,0
43,0,0,1,0,48,20672,20,12,1,235,4715769,2218753,24391207,0
83,0,1,1,1,41,3918,14,20,1,68,4105728,1540484,32033365,0
29,1,0,1,1,10,4622,1,6,1,259,4846662,2890635,41624267,0
61,1,0,1,1,87,19456,25,5,0,482,6997,1513144,28709997,1
74,1,0,1,1,41,13640,14,21,0,62,1091985,1115480,42888323,0
91,0,1,1,0,5,13581,10,12,0,335,1254967,174713,37737491,0
88,0,0,0,1,93,6524,23,7,0,31,390427,1245948,33661681,1
61,1,0,1,0,14,14642,0,15,1,129,1298237,1572430,4577379,0
96,0,1,0,1,30,11925,13,25,1,318,4503642,485735,29888161,0
0,1,0,0,1,91,23532,26,8,1,769,2841181,2136826,20442868,1
26,0,0,1,1,21,24494,3,12,1,161,4794150,2393897,38299220,0
61,0,0,1,0,68,23915,5,26,0,858,1766760,2243997,20575646,1
76,0,0,1,1,98,15424,7,1,1,501,1952385,2843729,7309303,0
2,1,1,1,0,31,2725,19,11,1,682,3385009,404548,19491633,1
69,0,0,1,1,79,23876,1,11,1,193,1037056,1701594,48141111,0
71,0,0,1,1,72,16272,3,25,0,144,4517862,2415750,4948917,0
26,1,0,1,1,22,5829,16,14,1,421,1682027,765853,30939298,0
8,0,0,0,1,87,5310,23,19,0,564,2782009,176196,31651979,1
61,1,0,0,1,54,19121,8,9,1,242,3113848,1872213,46065743,0
36,0,0,1,1,94,11906,18,24,1,35,4773267,699896,41397220,0
96,1,1,1,1,69,18822,29,13,1,72,2854524,2910757,6831396,1
50,0,0,1,1,24,3389,7,29,1,687,475113,1929402,37514286,0
43,1,0,1,1,66,21012,8,25,0,355,1663348,2579802,23944389,1
23,1,0,0,1,79,13301,27,16,0,371,1800711,2360815,2467049,1
78,0,0,0,1,63,8891,12,9,0,130,1669812,637076,4388313,0
58,0,0,1,1,29,16187,7,28,0,428,2972164,1852210,21265761,0
31,0,0,1,1,87,16233,13,23,0,437,2995805,84817,13354883,0
95,0,0,1,1,69,2180,17,10,1,82,1302855,2234016,984712,0
87,1,0,0,1,69,12776,17,16,0,586,4547159,2665328,21842826,1
51,0,0,1,1,71,12294,9,10,1,650,1867193,318192,2998857,0
61,0,0,1,1,62,12857,28,14,1,941,2330104,1532190,33021404,0
57,0,0,0,1,44,12765,19,3,1,332,1480054,1024639,17564881,0
51,1,0,0,1,51,6335,0,24,1,359,1458595,1135792,21417625,0
11,1,0,0,1,47,5435,11,3,0,186,207787,1023995,39379904,1
38,0,0,1,1,12,2810,2,20,1,920,1750704,2302209,42124416,0
1,0,0,1,1,98,2313,19,14,1,278,2227669,827719,48789623,0
2,0,0,1,1,66,15873,11,30,1,553,3011176,727399,39574557,1
100,0,1,0,0,38,16606,17,13,1,517,3966512,353392,4748426,1
55,0,0,0,1,12,5004,11,28,1,86,3074314,810799,42860603,0
80,0,0,0,1,29,1330,6,30,0,644,642568,1617935,29474768,0
58,0,0,1,1,30,10469,28,8,1,745,2708977,617524,35869534,0
1,0,0,0,1,95,10789,25,15,1,722,2962084,2589307,37789116,1
1,0,0,1,1,58,24489,2,23,1,222,3131789,1408645,4951025,0
91,0,0,1,1,87,23265,6,0,1,110,658018,804106,43799475,0
53,0,1,1,1,91,14544,22,2,1,993,3743610,1759245,22476035,0
86,1,1,1,1,45,1224,12,3,1,443,4756651,615146,4233654,0
100,0,0,1,0,84,24476,28,18,1,22,1750842,286458,26331481,0
95,0,0,0,0,76,8330,10,8,1,572,3541619,2220920,46635659,0
96,0,0,0,1,67,9258,24,21,1,838,4142658,1464921,15880966,0
0,1,0,1,1,98,10756,19,18,1,486,1069447,631950,3074376,1
18,1,0,1,1,76,21957,19,7,1,878,898333,1559839,12254172,1
1,0,0,1,1,79,19680,16,24,1,998,807852,2086599,14523438,0
52,0,0,1,1,11,24054,30,25,0,372,577499,2079270,33005864,0
43,0,0,1,1,89,18175,14,3,0,779,4651356,185536,15455652,0
89,0,0,0,1,89,16391,29,12,1,174,1626606,2423039,35913341,0
31,0,1,1,1,73,6343,26,20,1,681,2705420,2920357,38063639,0
69,0,1,0,1,54,18232,5,18,1,135,437604,1984231,35029247,0
31,0,0,0,1,47,13905,5,13,0,280,3246444,1242932,3781152,0
67,0,0,1,0,21,18834,6,4,1,136,491549,2443191,42028086,0
54,0,1,1,0,25,17500,8,17,1,268,1463831,2852871,38235547,0
74,0,0,0,1,10,13435,25,17,1,394,4097264,113378,47251540,0
55,0,0,1,1,75,15121,25,26,1,395,2150043,1593277,27019811,0
16,0,0,0,1,79,19396,25,28,1,916,4832261,1422748,22637113,1
37,0,1,0,1,86,21582,8,20,1,230,2303285,710713,9483887,1
23,1,0,1,0,42,19799,20,14,1,44,1945763,1308534,2462859,0
68,0,0,0,1,67,9014,17,22,1,535,3057898,2387586,33242164,1
97,0,1,1,1,16,3242,0,16,0,278,3882111,2871309,29705386,0
69,1,0,0,1,26,20596,17,2,0,685,3713667,2988831,35724374,1
85,0,1,1,1,7,19445,17,0,1,22,4931214,1930556,16339999,0
10,0,0,0,1,23,3887,11,23,0,39,1311390,1099009,19053598,1
15,0,0,1,0,47,7624,0,17,1,809,3983154,1059603,236364,0
96,1,0,0,1,91,7317,27,21,1,56,4329529,1029090,38660043,1
72,1,0,1,1,71,2892,23,26,0,835,1718746,1832013,30467984,1
58,0,0,1,0,91,369,18,15,0,124,263808,850433,19490530,1
69,0,0,1,1,9,23462,25,5,0,35,1916149,2626188,18794600,0
79,0,0,0,0,33,18591,13,8,1,272,1508796,819459,41130183,0
92,0,1,1,1,9,21419,13,21,1,658,2954482,2145106,37976047,0
2,0,0,1,0,97,22351,25,9,1,397,957078,2138064,43511033,1
19,0,0,0,1,49,108,15,21,1,22,3521794,622739,25244825,1
58,0,0,0,0,58,7344,27,28,0,9,1600491,294834,36048246,1
35,1,0,1,1,28,19097,23,26,1,582,3452496,393287,2875780,0
18,0,0,0,1,25,11944,5,16,1,879,3002767,2829860,20246180,0
89,0,0,1,1,36,14266,16,6,1,393,4536803,1187320,33023376,0
66,0,0,0,1,9,9013,12,13,0,18,4933114,2548231,41748726,0
18,1,0,0,1,66,10122,29,13,0,244,3441593,782258,14384487,1
19,0,0,1,0,22,15235,28,11,1,237,1368182,661435,35162508,0
95,0,0,1,1,39,15925,22,5,0,704,4102706,1454051,10782221,0
70,0,0,1,1,84,18269,18,28,0,737,26123,217885,16113012,1
51,0,0,1,1,92,15977,24,13,0,294,2819804,2418154,16719590,0
32,1,0,0,1,9,23801,24,7,1,51,1432947,2804531,15113634,0
39,0,0,1,1,13,9442,19,16,1,826,3020919,1990243,28454561,0
38,0,0,0,0,8,22097,1,7,0,790,3503251,2101503,37365488,0
81,0,0,1,1,37,14526,9,7,1,865,3618510,1533717,46859162,0
0,0,0,0,1,95,11272,30,16,0,696,690451,254319,2639245,1
10,1,1,0,1,26,5546,8,10,1,620,1369995,2720508,1696858,0
91,0,0,0,1,63,17078,20,6,1,29,2476450,2340267,32832265,0
56,0,0,1,1,15,18633,26,22,0,695,2940919,1245650,41797746,0
88,0,0,1,1,73,14439,30,6,1,633,2989656,1700378,15109517,0
49,0,1,1,1,14,908,11,11,0,80,50747,1681242,48311495,0
22,1,0,1,1,7,9889,7,15,0,388,112492,1762823,16766124,0
30,0,0,1,0,19,21461,8,12,1,164,3373305,2092948,5320610,0
93,1,0,0,1,41,6824,10,28,1,970,2730173,2941737,14786994,0
41,1,0,1,1,44,5456,0,30,0,32,2611982,68185,17675324,0
98,0,0,1,1,21,1841,10,14,0,224,3946281,397702,20237978,0
6,0,0,1,1,24,5594,18,18,1,270,788065,2833601,22644962,0
15,0,0,1,1,8,2491,22,2,0,724,4284210,1523313,36385345,0
89,0,0,1,1,38,12627,29,10,1,786,17969,2847039,26654210,0
59,0,0,0,0,99,24606,1,23,1,963,2021435,1982091,3123624,1
1,0,0,1,0,38,6174,13,7,1,710,3212692,1422476,2952932,0
0,0,0,0,1,71,20805,3,7,1,978,3098206,400616,2765786,1
47,0,1,1,1,32,627,19,11,0,224,698355,2886496,45176223,0
11,0,0,0,1,97,13042,22,30,0,649,3652790,2880026,38099589,1
68,0,0,1,0,83,17482,29,2,1,282,1862985,2428436,7346473,0
36,0,0,0,1,40,8350,14,19,1,877,1754132,1437088,28236377,0
31,0,1,1,1,39,5312,1,27,0,115,2690627,2232553,21029892,0
8,1,0,1,1,45,24142,23,1,0,618,2655891,426965,13259862,0
98,0,0,1,1,63,7896,23,26,1,944,1130186,2764054,40594192,0
18,1,0,0,1,78,7799,28,2,0,275,3221880,2685984,32968365,1
47,0,0,0,1,21,20771,30,15,1,838,372685,2874529,27224076,0
79,0,0,1,1,34,23892,15,20,1,130,811570,722299,21533431,0
2,0,0,1,1,58,16506,21,18,0,796,1239104,1605271,7325095,0
19,0,0,1,1,56,5342,3,19,1,112,2482155,2654067,19112700,0
23,0,0,1,1,76,9271,1,6,1,212,4190082,1965546,35515171,0
53,0,0,1,0,27,10695,14,18,0,206,4883583,880525,31501930,0
32,0,0,1,1,23,9295,18,0,1,993,4236252,383293,32090101,0
23,0,0,0,1,41,18623,18,12,1,708,2862096,925304,31251392,0
74,0,0,0,1,63,12173,15,13,0,949,3383874,1790995,9896424,0
71,1,1,1,0,40,21686,11,0,0,988,2476730,1727647,23681342,1
35,0,0,1,1,72,9182,2,3,1,229,603606,1366325,18447285,0
37,0,0,1,0,30,24065,19,16,1,810,3429712,398324,3102960,0
83,0,1,1,1,31,18751,14,5,1,798,3501172,1296632,27041434,0
98,1,0,1,1,81,7102,30,19,1,786,2315206,2439447,16207548,0
88,1,0,1,0,66,21736,6,20,0,125,944962,2725097,40142108,1
98,0,1,0,1,66,6069,8,5,1,137,4005295,1683958,18491011,0
24,1,0,0,1,56,20832,25,1,1,263,344179,546597,37198527,0
92,0,0,1,1,48,6761,28,16,1,356,4389380,1120502,4712262,0
17,0,1,1,1,37,19445,14,28,1,821,846212,2882647,40142591,0
81,1,1,0,1,94,5249,19,25,0,508,337085,245753,37992621,1
65,1,0,0,1,88,4103,12,15,0,207,1952005,1005107,38560063,0
53,0,0,1,1,67,4495,6,11,1,987,751152,2265468,13297124,0
34,1,0,0,1,76,19375,25,11,1,625,708268,2298895,14518226,1
79,0,0,1,1,84,24415,21,17,0,506,2104165,2917358,45264981,0
60,1,0,1,0,73,12586,15,29,0,645,3355636,1302783,38439111,1
40,0,0,1,1,38,21460,9,15,0,555,3614825,2121893,23045110,0
99,0,1,0,0,31,12864,24,5,1,102,2991519,2989577,3223926,0
32,0,1,1,1,40,3974,23,12,0,453,679473,2680700,48636476,0
67,0,0,1,1,8,20478,1,30,1,214,863648,521061,9940626,0
32,0,0,0,1,57,4870,18,25,1,599,4680937,2718852,43441823,0
13,0,0,0,1,75,21045,5,24,1,653,4741798,1037409,1523226,1
20,0,0,0,1,41,1133,20,15,1,326,1862691,1559647,1647752,0
47,0,0,1,1,92,9253,17,23,1,943,2138314,139745,5629379,0
19,0,0,0,1,83,21065,1,9,1,493,4623775,568048,6957271,1
7,0,0,1,1,54,17209,20,10,1,301,1425200,1574939,43266409,0
6,0,1,1,1,74,14660,20,0,0,874,3676315,2458519,13677250,1
66,0,0,1,1,30,17372,0,20,1,354,288247,941456,4978841,0
16,1,0,1,1,94,2868,14,6,0,258,2398671,235413,37833840,1
32,1,0,1,1,29,17076,9,23,0,393,4794042,2669854,6962946,0
47,0,0,0,1,37,24534,26,22,1,662,4891910,1741091,18977160,0
75,0,1,1,0,71,3665,2,16,1,986,2602963,398683,16549356,0
58,0,0,1,0,77,790,24,11,0,404,3168670,1863384,14747234,0
85,0,0,1,1,41,1452,30,19,1,842,119740,1879227,12885288,0
21,0,0,1,1,42,15076,9,19,1,853,3361271,33634,34853669,0
29,1,0,1,1,98,7828,28,14,1,765,1404991,1692855,23602825,0
37,0,1,0,1,31,4510,2,8,1,188,3140158,2308882,48353398,0
50,0,0,0,0,17,19153,21,30,1,651,3009505,2605518,18014329,0
53,0,0,0,1,27,22387,5,27,1,629,1163229,2295824,48957301,0
7,1,0,1,1,71,10403,1,21,0,360,236895,2484942,33020394,1
26,0,0,1,1,91,10463,22,5,0,277,1085185,25812,32850582,0
26,0,0,1,1,92,3130,24,4,0,722,2735882,1263325,43240056,0
97,0,0,0,1,59,2555,8,4,0,706,787894,817110,21126968,0
20,0,0,1,1,41,20435,7,8,1,565,1685878,618731,7371618,0
29,0,1,1,1,16,16227,29,1,1,484,3206530,1783507,5112268,0
96,0,0,1,1,58,5885,20,9,1,733,1427759,2727249,28293444,0
27,1,0,1,1,24,2838,23,4,1,370,831708,1954756,34954464,0
63,0,1,1,1,22,14768,24,30,0,662,1196662,329817,24991894,0
96,0,0,1,1,11,17856,0,16,1,336,494684,1498754,15753647,0
68,0,0,0,1,94,7952,16,20,1,792,1577391,41673,12167990,1
60,0,0,0,1,80,14589,26,3,0,706,4108250,1395968,15312872,0
47,0,0,1,1,98,563,12,3,1,351,2726123,253045,45798440,0
18,0,0,1,1,6,23445,4,12,1,154,3059112,2836507,13556192,0
3,0,0,0,1,58,10774,6,19,1,199,764160,1871711,8846746,0
34,1,0,1,1,12,22293,28,18,1,932,4374639,2557903,40828067,0
63,0,0,1,1,37,8917,8,5,1,805,2882968,166571,34806195,0
48,0,0,0,1,50,20689,24,18,1,146,932867,2276043,21973580,0
16,1,0,1,1,46,21498,13,21,0,155,3323730,1224918,16565301,0
43,0,0,1,1,98,3399,18,15,1,734,2691565,2995857,33695992,0
91,0,0,1,1,67,11944,0,5,1,74,3083038,797384,20426619,0
29,0,0,1,1,96,5329,2,10,0,745,2386986,2132667,43653330,0
92,0,0,1,1,81,13614,15,9,0,95,3817398,2735076,14153208,0
45,1,0,1,1,92,14625,7,30,1,336,2269199,2109911,26369164,0
